County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
01 - Alameda,9/30/2013,In Review,50914315.00,45,Bay Area Counties
01 - Alameda,9/30/2013,Pending Construction,840182510.04,126,Bay Area Counties
01 - Alameda,9/30/2013,In Construction,994352932.29,181,Bay Area Counties
01 - Alameda,9/30/2013,In Closure,65255928.88,81,Bay Area Counties
02 - Alpine,9/30/2013,In Review,0.00,0,
02 - Alpine,9/30/2013,Pending Construction,0.00,0,
02 - Alpine,9/30/2013,In Construction,0.00,0,
02 - Alpine,9/30/2013,In Closure,0.00,0,
03 - Amador,9/30/2013,In Review,1610809.00,2,
03 - Amador,9/30/2013,Pending Construction,0.00,0,
03 - Amador,9/30/2013,In Construction,1793567.00,9,
03 - Amador,9/30/2013,In Closure,0.00,0,
04 - Butte,9/30/2013,In Review,6183152.00,11,
04 - Butte,9/30/2013,Pending Construction,2844883.00,6,
04 - Butte,9/30/2013,In Construction,90561699.00,15,
04 - Butte,9/30/2013,In Closure,717911.00,5,
05 - Calaveras,9/30/2013,In Review,0.00,0,
05 - Calaveras,9/30/2013,Pending Construction,42500.00,1,
05 - Calaveras,9/30/2013,In Construction,0.00,0,
05 - Calaveras,9/30/2013,In Closure,177991.00,2,
06 - Colusa,9/30/2013,In Review,16951.00,2,
06 - Colusa,9/30/2013,Pending Construction,25000.00,1,
06 - Colusa,9/30/2013,In Construction,0.00,0,
06 - Colusa,9/30/2013,In Closure,0.00,0,
07 - Contra Costa,9/30/2013,In Review,19067925.00,28,Bay Area Counties
07 - Contra Costa,9/30/2013,Pending Construction,19570172.00,43,Bay Area Counties
07 - Contra Costa,9/30/2013,In Construction,40655626.98,56,Bay Area Counties
07 - Contra Costa,9/30/2013,In Closure,2110283.62,20,Bay Area Counties
08 - Del Norte,9/30/2013,In Review,0.00,0,
08 - Del Norte,9/30/2013,Pending Construction,0.00,0,
08 - Del Norte,9/30/2013,In Construction,6763431.00,5,
08 - Del Norte,9/30/2013,In Closure,50000.00,1,
09 - El Dorado,9/30/2013,In Review,11759315.00,6,Greater Sacramento Counties
09 - El Dorado,9/30/2013,Pending Construction,38333.00,2,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Construction,12111964.00,5,Greater Sacramento Counties
09 - El Dorado,9/30/2013,In Closure,23367713.00,4,Greater Sacramento Counties
10 - Fresno,9/30/2013,In Review,38711002.71,38,
10 - Fresno,9/30/2013,Pending Construction,9541967.00,34,
10 - Fresno,9/30/2013,In Construction,242104851.93,81,
10 - Fresno,9/30/2013,In Closure,16096259.97,91,
11 - Glenn,9/30/2013,In Review,0.00,0,
11 - Glenn,9/30/2013,Pending Construction,0.00,0,
11 - Glenn,9/30/2013,In Construction,224685.00,1,
11 - Glenn,9/30/2013,In Closure,10000.00,1,
12 - Humboldt,9/30/2013,In Review,5415000.00,8,
12 - Humboldt,9/30/2013,Pending Construction,1456000.00,6,
12 - Humboldt,9/30/2013,In Construction,88258714.00,16,
12 - Humboldt,9/30/2013,In Closure,836781.75,8,
13 - Imperial,9/30/2013,In Review,6035000.00,2,
13 - Imperial,9/30/2013,Pending Construction,81500.00,3,
13 - Imperial,9/30/2013,In Construction,348000.00,3,
13 - Imperial,9/30/2013,In Closure,558903.00,3,
14 - Inyo,9/30/2013,In Review,250.00,1,
14 - Inyo,9/30/2013,Pending Construction,39653.00,1,
14 - Inyo,9/30/2013,In Construction,12300.00,3,
14 - Inyo,9/30/2013,In Closure,41277251.54,3,
15 - Kern,9/30/2013,In Review,7478774.00,23,
15 - Kern,9/30/2013,Pending Construction,4474399.00,13,
15 - Kern,9/30/2013,In Construction,62330241.00,33,
15 - Kern,9/30/2013,In Closure,18160388.66,40,
16 - Kings,9/30/2013,In Review,395000.00,6,
16 - Kings,9/30/2013,Pending Construction,28470000.00,6,
16 - Kings,9/30/2013,In Construction,238722.00,5,
16 - Kings,9/30/2013,In Closure,749634.13,14,
17 - Lake,9/30/2013,In Review,243000.00,2,
17 - Lake,9/30/2013,Pending Construction,69500.00,2,
17 - Lake,9/30/2013,In Construction,5716410.23,16,
17 - Lake,9/30/2013,In Closure,146348.04,4,
18 - Lassen,9/30/2013,In Review,326000.00,1,
18 - Lassen,9/30/2013,Pending Construction,145120.00,1,
18 - Lassen,9/30/2013,In Construction,1164643.00,9,
18 - Lassen,9/30/2013,In Closure,0.00,0,
19 - Los Angeles,9/30/2013,In Review,574624315.85,437,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,Pending Construction,234927854.22,558,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Construction,2354038459.31,868,Greater Los Angeles Counties
19 - Los Angeles,9/30/2013,In Closure,545209451.35,629,Greater Los Angeles Counties
20 - Madera,9/30/2013,In Review,695954.00,1,
20 - Madera,9/30/2013,Pending Construction,864400.00,2,
20 - Madera,9/30/2013,In Construction,4115108.00,21,
20 - Madera,9/30/2013,In Closure,16479177.98,27,
21 - Marin,9/30/2013,In Review,178957915.00,17,Bay Area Counties
21 - Marin,9/30/2013,Pending Construction,44515860.00,9,Bay Area Counties
21 - Marin,9/30/2013,In Construction,25456399.00,21,Bay Area Counties
21 - Marin,9/30/2013,In Closure,6820196.00,18,Bay Area Counties
22 - Mariposa,9/30/2013,In Review,0.00,0,
22 - Mariposa,9/30/2013,Pending Construction,0.00,0,
22 - Mariposa,9/30/2013,In Construction,0.00,0,
22 - Mariposa,9/30/2013,In Closure,0.00,0,
23 - Mendocino,9/30/2013,In Review,3466175.00,7,
23 - Mendocino,9/30/2013,Pending Construction,16013000.00,5,
23 - Mendocino,9/30/2013,In Construction,2246074.00,13,
23 - Mendocino,9/30/2013,In Closure,37855168.00,9,
24 - Merced,9/30/2013,In Review,195360.20,5,
24 - Merced,9/30/2013,Pending Construction,237500.00,3,
24 - Merced,9/30/2013,In Construction,12965854.00,4,
24 - Merced,9/30/2013,In Closure,338500.00,5,
25 - Modoc,9/30/2013,In Review,0.00,0,
25 - Modoc,9/30/2013,Pending Construction,12500.00,1,
